Time,X,Y,Z
40:43.8,0.04,0.12,1.01
40:44.1,0.04,0.11,1
40:44.4,0.05,0.12,1.01
40:44.6,0.04,0.11,1
40:44.9,0.05,0.12,1.01
40:45.2,0.04,0.11,1
40:45.4,0.05,0.12,1.01
40:45.7,0.04,0.11,0.99
40:45.9,0.05,0.12,1.01
40:46.2,0.05,0.12,1.01
40:46.5,0.04,0.11,1
40:46.7,0.05,0.12,1.01
40:47.0,0.04,0.11,1
40:47.3,0.04,0.11,1
40:47.5,0.05,0.12,1.01
40:47.8,0.04,0.11,1.01
40:48.1,0.04,0.12,1
40:48.3,0.04,0.12,1
40:48.6,0.05,0.12,1.01
40:48.8,0.03,0.09,1.01
40:49.1,0.07,0.13,1
40:49.4,0.04,0.11,1.01
40:49.6,0.04,0.13,1
40:49.9,0.05,0.12,1
40:50.1,0.04,0.11,1
40:50.4,0.05,0.12,1.01
40:50.7,0.01,0.13,1
40:50.9,0.18,0.17,1.01
40:51.2,0.03,0.11,1
40:51.5,0.07,0.07,1
40:51.7,0.04,-0.12,1.02
40:52.0,0.09,0.32,0.98
40:52.3,-0.05,-0.22,1.04
40:52.5,0.13,0.36,0.98
40:52.8,0.15,-0.08,1.03
40:53.0,0.01,-0.01,1.01
40:53.3,0.11,0.37,0.97
40:53.6,0.05,-0.13,1.02
40:53.8,0.07,0.35,0.98
40:54.1,0.04,0.01,1.01
40:54.4,0.07,-0.12,1.01
40:54.6,0.07,0.4,0.98
40:54.9,0.02,-0.27,1.03
40:55.1,0.06,0.43,0.98
40:55.4,-0.01,-0.09,1.08
40:55.7,0.01,-0.06,0.99
40:55.9,0.14,0.27,0.97
40:56.2,0.12,-0.49,1.05
40:56.5,0.2,0.71,0.93
40:56.7,-0.01,-0.61,1.05
40:57.0,0.31,0.71,0.92
40:57.3,-0.07,-0.42,1.03
40:57.5,0.17,0.6,0.94
40:57.8,-0.05,-0.19,1
40:58.0,-0.03,-0.07,1
40:58.3,0.14,0.07,0.98
40:58.6,0.02,-0.57,1.05
40:58.8,0.25,0.58,0.93
40:59.1,-0.1,-0.69,1.05
40:59.3,0.32,0.86,0.91
40:59.6,-0.07,-0.73,1.05
40:59.9,0.14,1.5,0.85
41:00.1,-0.04,-1.4,1.07
41:00.4,0.46,1.81,0.74
41:00.7,0.2,-1.21,1.02
41:00.9,0.46,1.19,0.88
41:01.2,0.05,-1,1.07
41:01.5,0.4,1.52,0.8
41:01.7,0.18,-1.21,1.05
41:02.0,0.48,1.52,0.82
41:02.2,-0.05,-0.96,1.05
41:02.5,0.64,1.28,0.96
41:02.8,-0.19,-0.79,1.02
41:03.0,0.16,1.25,0.87
41:03.3,-0.29,-0.56,0.94
41:03.5,-0.54,0.94,0.82
41:03.8,-0.09,-0.15,0.98
41:04.1,0.02,-0.2,0.93
41:04.3,0.17,0.4,0.89
41:04.6,0.16,-1,0.99
41:04.9,0.37,0.51,0.9
41:05.1,0.07,-0.9,1.02
41:05.4,0.5,1.1,0.83
41:05.7,-0.07,-0.92,1.05
41:05.9,0.52,1.31,0.81
41:06.2,0.1,-1.13,1.08
41:06.4,0.4,1.37,0.86
41:06.7,0.23,-1.15,1.04
41:07.0,0.34,1.67,0.84
41:07.2,0.04,-1.08,1.03
41:07.5,0.18,1.17,0.74
41:07.8,-0.08,-0.59,1.06
41:08.0,-0.24,0.51,0.66
41:08.3,-0.02,-0.27,0.83
41:08.5,0.14,-1.06,0.94
41:08.8,0.15,1.43,0.79
41:09.1,0.02,-0.8,0.94
41:09.3,0.44,1.68,0.83
41:09.6,0.11,-1.18,1.09
41:09.9,0.47,1.33,0.84
41:10.1,-0.04,-1.12,1.04
41:10.4,0.23,0.81,0.83
41:10.6,-0.07,-0.71,1.01
41:10.9,-0.62,-0.46,0.92
41:11.2,0.1,1.61,0.68
41:11.4,-0.08,-1.18,1.03
41:11.7,0.67,1.34,0.9
41:12.0,-0.05,-0.98,1.04
41:12.2,0.02,0.65,0.76
41:12.5,-0.01,-0.48,0.95
41:12.8,-0.41,-0.35,1.09
41:13.0,-0.01,1.04,0.69
41:13.3,-0.05,-0.91,1.05
41:13.5,0.5,1.18,0.89
41:13.8,-0.1,-0.84,1.05
41:14.1,0.34,0.87,0.89
41:14.3,-0.25,-0.53,1.03
41:14.6,-0.28,0.79,0.95
41:14.9,0.09,-0.33,0.98
41:15.1,0.05,-0.74,0.93
41:15.4,0.21,0.54,0.89
41:15.6,0.19,-0.81,1.05
41:15.9,0.31,1.18,0.89
41:16.2,0.01,-0.75,1.06
41:16.4,0.27,0.98,0.94
41:16.7,-0.03,-0.76,1.04
41:17.0,-0.08,0.74,0.87
41:17.2,0.05,-0.5,1
41:17.5,-0.16,0.32,0.95
41:17.7,-0.08,0.19,0.95
41:18.0,-0.03,-0.31,1
41:18.3,0.16,0.5,0.95
41:18.5,0.02,-0.49,1.05
41:18.8,0.15,0.73,0.93
41:19.1,0.01,-0.38,1.04
41:19.3,-0.04,0.94,0.89
41:19.6,-0.01,-0.54,1.04
41:19.9,0.11,0.65,0.96
41:20.1,0,-0.33,1.03
41:20.4,0.08,0.22,0.96
41:20.6,0.03,-0.36,1.03
41:20.9,0.07,0.66,0.92
41:21.2,0.22,-0.1,1.01
41:21.4,-0.47,0.16,0.99
41:21.7,0.16,0.52,0.95
41:22.0,0.15,-0.28,1.03
41:22.2,-0.02,0.27,1.01
41:22.5,0.11,-0.06,1.01
41:22.7,0.08,-0.1,1.02
41:23.0,0.05,0.28,1
41:23.3,0.01,0.08,1.01
41:23.5,0.07,0.09,1
