Time,X,Y,Z
41:23.8,0.05,0.11,1
41:24.0,0.05,0.08,1
41:24.3,0.03,0.11,1.01
41:24.6,0.06,0.09,1
41:24.8,0.01,0.16,1
41:25.1,0.03,0.15,1.01
41:25.4,0.03,0.11,1
41:25.6,0.04,0.11,1.01
41:25.9,0.04,0.11,1
41:26.2,0.04,0.09,1.01
41:26.4,0.06,0.04,1.01
41:26.7,0.05,0.06,1
41:26.9,0.03,0.13,1
41:27.2,0.05,0.12,1
41:27.5,0.05,0.11,1
41:27.7,0.03,0.12,1
41:28.0,0.05,0.12,1.01
41:28.3,0.04,0.11,1
41:28.5,0.05,0.1,1.01
41:28.8,0.04,0.1,1
41:29.0,0.04,0.1,1.01
41:29.3,0.05,0.08,1
41:29.6,0.02,0.1,1.01
41:29.8,0.03,0.1,1
41:30.1,0.05,0.11,1
41:30.4,0.03,0.1,1.01
41:30.6,0.06,0.11,1.01
41:30.9,0.06,0.11,1
41:31.1,0.04,0.1,1.03
41:31.4,0.04,0.11,1
41:31.7,0.05,0.11,0.99
41:31.9,0.03,0.1,1.01
41:32.2,0.04,0.1,1.01
41:32.5,0.04,0.1,1
41:32.7,0.04,0.1,1
41:33.0,0.03,0.1,1
41:33.2,0.04,0.11,1.01
41:33.5,0.04,0.11,1
41:33.8,0.04,0.11,1.01
41:34.0,0.03,0.1,1
41:34.3,0.04,0.1,1.01
41:34.6,0.04,0.1,1.01
41:34.8,0.04,0.1,1.01
41:35.1,0.04,0.1,1.01
41:35.3,0.04,0.1,1
41:35.6,0.04,0.1,1.01
41:35.9,0.04,0.1,1.01
41:36.1,0.04,0.1,1.01
41:36.4,0.03,0.1,1.01
41:36.7,0.04,0.1,1.01
41:36.9,0.04,0.11,1
41:37.2,0.04,0.11,1
41:37.4,0.05,0.11,1.01
41:37.7,0.04,0.11,1
41:38.0,0.04,0.11,1.01
41:38.2,0.04,0.11,1
41:38.5,0.03,0.11,1
41:38.8,0.05,0.11,1
41:39.0,0.03,0.11,1
41:39.3,0.04,0.11,1.01
41:39.6,0.04,0.11,1
41:39.8,0.05,0.11,1.01
41:40.1,0.03,0.11,1
41:40.3,0.05,0.11,1.01
41:40.6,0.04,0.1,1
41:40.9,0.05,0.11,1.01
41:41.1,0.04,0.1,1
41:41.4,0.05,0.11,1.02
41:41.6,0.03,0.1,1
41:41.9,0.04,0.11,1.01
41:42.2,0.04,0.11,1
41:42.4,0.04,0.11,1.01
41:42.7,0.04,0.11,1.01
41:43.0,0.04,0.1,1
41:43.2,0.04,0.11,1.01
41:43.5,0.04,0.1,1
41:43.8,0.04,0.1,1.01
41:44.0,0.04,0.1,1
41:44.3,0.04,0.11,1.01
41:44.5,0.04,0.11,1
41:44.8,0.03,0.11,1.01
41:45.1,0.05,0.11,1.01
41:45.3,0.03,0.1,1
41:45.6,0.04,0.1,1.01
41:45.9,0.04,0.1,1
41:46.1,0.04,0.1,1
41:46.4,0.03,0.11,1
41:46.6,0.04,0.11,1.01
41:46.9,0.04,0.11,1
41:47.2,0.04,0.1,1.01
41:47.4,0.04,0.1,1
41:47.7,0.04,0.1,1.01
41:48.0,0.04,0.1,1.01
41:48.2,0.04,0.1,1
41:48.5,0.03,0.1,1
41:48.7,0.05,0.11,1.01
41:49.0,0.04,0.11,1
41:49.3,0.04,0.11,1.01
41:49.5,0.04,0.11,1.01
41:49.8,0.04,0.11,1.01
41:50.1,0.04,0.11,1
41:50.3,0.04,0.11,1.01
41:50.6,0.04,0.11,1
41:50.8,0.04,0.11,1.01
41:51.1,0.04,0.1,1
41:51.4,0.04,0.11,1.01
41:51.6,0.04,0.1,1
41:51.9,0.03,0.11,1.01
41:52.2,0.05,0.11,1
41:52.4,0.03,0.11,1
41:52.7,0.05,0.11,1.01
41:52.9,0.04,0.1,1
41:53.2,0.05,0.11,1.01
41:53.5,0.04,0.11,1.01
41:53.7,0.05,0.11,1.01
41:54.0,0.03,0.1,1
41:54.3,0.05,0.11,1.01
41:54.5,0.05,0.11,1.01
41:54.8,0.03,0.1,1
41:55.1,0.05,0.11,1.01
41:55.3,0.03,0.1,1
41:55.6,0.04,0.11,1.01
41:55.8,0.04,0.1,1
41:56.1,0.04,0.1,1.01
41:56.4,0.03,0.1,1
41:56.6,0.04,0.11,1.01
41:56.9,0.03,0.1,1
41:57.1,0.04,0.11,1.01
41:57.4,0.04,0.1,1
41:57.7,0.04,0.11,1.01
41:57.9,0.04,0.11,1
41:58.2,0.04,0.11,1
41:58.5,0.04,0.11,1
41:58.7,0.03,0.11,1
41:59.0,0.04,0.11,1.01
41:59.2,0.05,0.11,1.01
41:59.5,0.03,0.11,1.01
41:59.8,0.04,0.11,1.01
42:00.0,0.04,0.11,1
