Time,SI,PGA
40:44.4,0,0
40:45.0,0,0
40:45.5,0,0
40:46.1,0,0
40:46.6,0,0
40:47.1,0,0
40:47.7,0,0
40:48.2,0,0
40:48.8,0,0
40:49.3,0.05,0.27
40:49.8,0,0
40:50.4,0,0
40:50.9,0,0
40:51.5,0,0
40:52.0,0,0
40:52.5,0.37,0.35
40:53.1,0.37,0.35
40:53.6,0.37,0.35
40:54.2,0.52,0.35
40:54.7,0,0
40:55.3,0,0
40:55.8,0,0
40:56.3,0.67,0.6
40:56.9,0.81,0.71
40:57.4,0.88,0.71
40:58.0,0.88,0.71
40:58.5,0.93,0.87
40:59.0,0.96,0.9
40:59.6,1.02,0.95
41:00.1,1.3,1.43
41:00.7,1.6,1.82
41:01.2,1.6,1.82
41:01.7,1.61,1.82
41:02.3,1.64,1.82
41:02.8,1.64,1.82
41:03.4,1.64,1.82
41:03.9,1.64,1.82
41:04.5,1.64,1.82
41:05.0,1.64,1.82
41:05.5,1.64,1.82
41:06.1,1.64,1.82
41:06.6,1.64,1.82
41:07.2,1.74,1.82
41:07.7,1.81,1.82
41:08.2,1.81,1.82
41:08.8,1.81,1.82
41:09.3,1.81,1.82
41:09.9,1.81,1.82
41:10.4,1.82,1.82
41:11.0,1.92,1.82
41:11.5,2.08,1.82
41:12.0,2.08,1.82
41:12.6,2.08,1.82
41:13.1,2.08,1.82
41:13.7,2.08,1.82
41:14.2,2.08,1.82
41:14.7,2.08,1.82
41:15.3,2.08,1.82
41:15.8,2.08,1.82
41:16.4,2.08,1.82
41:16.9,2.08,1.82
41:17.4,2.08,1.82
41:18.0,2.08,1.82
41:18.5,2.08,1.82
41:19.1,2.08,1.82
41:19.6,2.08,1.82
41:20.2,2.08,1.82
41:20.7,2.08,1.82
41:21.2,2.08,1.82
41:21.8,2.08,1.82
41:22.3,2.08,1.82
41:22.9,2.08,1.82
41:23.4,2.08,1.82
41:23.9,2.08,1.82
41:24.5,2.08,1.82
41:25.0,2.08,1.82
41:25.6,2.08,1.82
41:26.1,2.08,1.82
41:26.6,2.08,1.82
41:27.2,2.08,1.82
41:27.7,2.08,1.82
41:28.3,2.08,1.82
41:28.8,2.08,1.82
41:29.3,2.08,1.82
41:29.9,2.08,1.82
41:30.4,2.08,1.82
41:31.0,2.08,1.82
41:31.5,2.08,1.82
41:32.1,2.08,1.82
41:32.6,2.08,1.82
41:33.1,2.08,1.82
41:33.7,2.08,1.82
41:34.2,2.08,1.82
41:34.8,2.08,1.82
41:35.3,2.08,1.82
41:35.8,2.08,1.82
41:36.4,2.08,1.82
41:36.9,2.08,1.82
41:37.5,2.08,1.82
41:38.0,2.08,1.82
41:38.6,2.08,1.82
41:39.1,2.08,1.82
41:39.6,2.08,1.82
41:40.2,2.08,1.82
41:40.7,2.08,1.82
41:41.3,2.08,1.82
41:41.8,2.08,1.82
41:42.3,2.08,1.82
41:42.9,2.08,1.82
41:43.4,2.08,1.82
41:44.0,2.08,1.82
41:44.5,2.08,1.82
41:45.1,2.08,1.82
41:45.6,2.08,1.82
41:46.1,2.08,1.82
41:46.7,2.08,1.82
41:47.2,2.08,1.82
41:47.8,2.08,1.82
41:48.3,2.08,1.82
41:48.8,2.08,1.82
41:49.4,2.08,1.82
41:49.9,2.08,1.82
41:50.5,2.08,1.82
41:51.0,2.08,1.82
41:51.5,2.08,1.82
41:52.1,2.08,1.82
41:52.6,2.08,1.82
41:53.2,2.08,1.82
41:53.7,2.08,1.82
41:54.3,2.08,1.82
41:54.8,2.08,1.82
41:55.3,2.08,1.82
41:55.9,2.08,1.82
41:56.4,2.08,1.82
41:57.0,2.08,1.82
41:57.5,2.08,1.82
41:58.0,2.08,1.82
41:58.6,2.08,1.82
41:59.1,2.08,1.82
41:59.7,2.08,1.82
42:00.2,2.08,1.82
42:00.7,2.08,1.82
