Time,X,Y,Z
53:26.9,0.02,0.04,1.01
53:27.1,0.06,0.21,1
53:27.4,0.03,-0.04,1.02
53:27.6,0.07,0.18,0.99
53:27.9,0.06,0.08,1
53:28.2,0.03,-0.03,1.02
53:28.4,0.11,0.28,1.02
53:28.7,-0.03,-0.18,1.03
53:29.0,0.13,0.42,0.96
53:29.2,-0.02,-0.19,1.01
53:29.5,0.07,0.28,0.97
53:29.8,-0.09,-0.1,1
53:30.0,-0.07,0.28,0.94
53:30.3,0.05,0.03,1
53:30.5,0.05,0.01,1.01
53:30.8,0.06,0.13,1
53:31.1,0.01,0.01,1.01
53:31.3,0.1,0.18,1
53:31.6,0.03,0.01,1.01
53:31.8,0.06,0.26,0.99
53:32.1,0.01,0.07,1.01
53:32.4,0.07,0.07,1.01
53:32.6,0.03,0.13,1
53:32.9,0.04,0.02,1.01
53:33.2,0.07,0.18,1
53:33.4,0.01,-0.06,1.02
53:33.7,0.05,0.15,1
53:33.9,0.02,0.01,1.01
53:34.2,0.07,0.13,1
53:34.5,0.03,0.05,1.01
53:34.7,0.06,0.12,1
53:35.0,0.03,0.07,1.01
53:35.3,0.03,0.08,1.01
53:35.5,0.03,0.07,1.01
53:35.8,0.03,0.08,1.01
53:36.0,0.04,0.1,1
53:36.3,0.05,0.11,1
53:36.6,0.04,0.11,1.01
53:36.8,0.04,0.1,1.01
53:37.1,0.04,0.1,1
53:37.4,0.04,0.1,1.01
53:37.6,0.05,0.11,1.01
53:37.9,0.04,0.1,1
53:38.2,0.04,0.1,1.01
53:38.4,0.04,0.09,1
53:38.7,0.05,0.12,1
53:38.9,0.05,0.1,1
53:39.2,0.04,0.09,1
53:39.5,0.04,0.09,1.01
53:39.7,0.04,0.1,1
53:40.0,0.04,0.1,1.01
53:40.2,0.04,0.1,1
53:40.5,0.05,0.11,1.01
53:40.8,0.05,0.11,1
53:41.0,0.05,0.11,1.01
53:41.3,0.05,0.11,1
53:41.6,0.05,0.11,1
53:41.8,0.05,0.11,1
53:42.1,0.05,0.11,1.01
53:42.3,0.05,0.11,1
53:42.6,0.04,0.11,1.01
53:42.9,0.05,0.11,1
53:43.1,0.05,0.11,1.01
53:43.4,0.05,0.11,1
53:43.7,0.05,0.11,1.01
53:43.9,0.05,0.11,1
53:44.2,0.05,0.11,1.01
53:44.4,0.05,0.11,1.01
53:44.7,0.05,0.11,1
53:45.0,0.05,0.11,1
53:45.2,0.05,0.11,1
53:45.5,0.05,0.11,1
53:45.8,0.05,0.11,1.01
53:46.0,0.05,0.11,1.01
53:46.3,0.05,0.11,1.01
53:46.6,0.04,0.11,1.01
53:46.8,0.05,0.11,1
53:47.1,0.05,0.11,1
53:47.3,0.05,0.11,1.01
53:47.6,0.05,0.11,1
53:47.9,0.05,0.11,1
53:48.1,0.05,0.11,1
53:48.4,0.05,0.11,1
53:48.7,0.05,0.11,1
53:48.9,0.05,0.11,1.01
53:49.2,0.05,0.11,1
53:49.4,0.05,0.11,1.01
53:49.7,0.05,0.11,1.01
53:50.0,0.05,0.11,1
53:50.2,0.05,0.11,1.01
53:50.5,0.05,0.11,1
53:50.7,0.05,0.11,1
