Time,X,Y,Z
0.92,0.006,-0.003,0.011
0.925,0.005,-0.002,0.004
0.93,0.005,-0.003,0
0.935,0.004,-0.005,0
0.94,0.003,-0.007,0.004
0.945,0.003,-0.011,0.006
0.95,0.006,-0.015,0.004
0.955,0.008,-0.018,0.001
0.96,0.009,-0.017,-0.001
0.965,0.01,-0.013,0
0.97,0.012,-0.007,0.003
0.975,0.013,-0.003,0.007
0.98,0.013,-0.001,0.009
0.985,0.009,-0.001,0.008
0.99,0.004,-0.002,0.004
0.995,0.001,-0.001,0.001
1,0.004,0,0.001
1.005,0.01,0,0.006
1.01,0.017,-0.001,0.011
1.015,0.02,-0.004,0.012
1.02,0.018,-0.006,0.01
1.025,0.012,-0.008,0.006
1.03,0.007,-0.011,0.005
1.035,0.006,-0.014,0.007
1.04,0.007,-0.015,0.01
1.045,0.009,-0.014,0.009
1.05,0.009,-0.012,0.004
1.055,0.006,-0.011,-0.002
1.06,0.002,-0.013,-0.005
1.065,-0.002,-0.017,-0.004
1.07,-0.003,-0.017,-0.004
1.075,-0.002,-0.011,-0.008
1.08,-0.002,-0.002,-0.014
1.085,-0.002,0.003,-0.015
1.09,-0.003,0.001,-0.007
1.095,-0.003,-0.006,0.006
1.1,-0.003,-0.01,0.016
1.105,-0.002,-0.008,0.018
1.11,0,-0.002,0.012
1.115,0.003,0.003,0.002
1.12,0.007,0.003,-0.007
1.125,0.009,0.001,-0.01
1.13,0.009,-0.002,-0.007
1.135,0.006,-0.003,-0.001
1.14,0.002,-0.004,0.007
1.145,-0.002,-0.004,0.014
1.15,-0.005,-0.005,0.016
1.155,-0.005,-0.004,0.014
1.16,-0.003,-0.001,0.007
1.165,0,0.001,-0.002
1.17,0.003,0.002,-0.007
1.175,0.002,-0.001,-0.007
1.18,-0.001,-0.002,-0.001
1.185,-0.003,-0.001,0.007
1.19,-0.003,0.004,0.013
1.195,0.002,0.008,0.017
1.2,0.006,0.008,0.016
1.205,0.007,0.004,0.009
1.21,0.002,-0.002,-0.001
1.215,-0.006,-0.008,-0.009
1.22,-0.011,-0.011,-0.011
1.225,-0.01,-0.01,-0.005
1.23,-0.005,-0.005,0.002
1.235,0,0.003,0.006
1.24,0.004,0.009,0.007
1.245,0.006,0.009,0.005
1.25,0.009,0.003,0.003
1.255,0.011,-0.003,0.002
1.26,0.01,-0.007,0.002
1.265,0.007,-0.007,0.003
1.27,0.005,-0.007,0.005
1.275,0.008,-0.011,0.004
1.28,0.015,-0.017,-0.001
1.285,0.019,-0.018,-0.008
1.29,0.016,-0.013,-0.013
1.295,0.005,-0.005,-0.011
1.3,-0.006,-0.001,-0.005
1.305,-0.009,-0.003,0.001
1.31,-0.004,-0.007,0.005
1.315,0.002,-0.007,0.004
1.32,0.003,-0.003,0.001
1.325,-0.003,0,-0.003
1.33,-0.011,-0.001,-0.007
1.335,-0.015,-0.006,-0.009
1.34,-0.012,-0.01,-0.006
1.345,-0.004,-0.011,-0.001
1.35,0.005,-0.008,0.003
1.355,0.011,-0.006,0.006
1.36,0.012,-0.007,0.008
1.365,0.009,-0.011,0.011
1.37,0.003,-0.015,0.011
1.375,-0.003,-0.018,0.009
1.38,-0.006,-0.02,0.005
1.385,-0.004,-0.022,0.001
1.39,-0.001,-0.023,-0.002
1.395,0.001,-0.021,-0.005
1.4,0.002,-0.015,-0.007
1.405,0.003,-0.007,-0.006
1.41,0.005,-0.002,0
1.415,0.01,-0.003,0.01
1.42,0.012,-0.007,0.018
1.425,0.011,-0.013,0.019
1.43,0.006,-0.015,0.011
1.435,-0.001,-0.013,-0.002
1.44,-0.005,-0.009,-0.014
1.445,-0.001,-0.006,-0.018
1.45,0.007,-0.006,-0.013
1.455,0.015,-0.01,-0.002
1.46,0.017,-0.016,0.008
1.465,0.013,-0.019,0.012
1.47,0.008,-0.018,0.009
1.475,0.006,-0.013,0.001
1.48,0.006,-0.008,-0.009
1.485,0.008,-0.006,-0.017
1.49,0.007,-0.008,-0.017
1.495,0.006,-0.011,-0.011
1.5,0.004,-0.014,-0.004
1.505,0.004,-0.015,0
1.51,0.003,-0.014,-0.001
1.515,0.002,-0.011,-0.003
1.52,0,-0.007,-0.002
1.525,-0.002,-0.005,0.001
1.53,-0.004,-0.005,0.003
1.535,-0.002,-0.005,0.003
1.54,0.003,-0.003,0.001
1.545,0.01,0,0.001
1.55,0.015,0.002,0.004
1.555,0.016,-0.001,0.006
1.56,0.012,-0.006,0.006
1.565,0.006,-0.007,0.002
1.57,0.002,-0.004,-0.005
1.575,0.002,-0.003,-0.01
1.58,0.006,-0.005,-0.012
1.585,0.007,-0.011,-0.009
1.59,0.002,-0.016,-0.004
1.595,-0.005,-0.015,0
1.6,-0.007,-0.011,0.001
1.605,-0.002,-0.007,0
1.61,0.007,-0.004,-0.001
1.615,0.013,-0.002,-0.001
1.62,0.012,0.001,0
1.625,0.005,0.004,0.002
1.63,-0.001,0.006,0.004
1.635,-0.004,0.006,0.005
1.64,-0.002,0.004,0.005
1.645,0.001,0,0.004
1.65,0.005,-0.003,0.004
1.655,0.008,-0.006,0.005
1.66,0.009,-0.006,0.005
1.665,0.009,-0.004,0.003
1.67,0.006,-0.003,-0.001
1.675,0.001,-0.005,-0.004
1.68,-0.002,-0.009,-0.003
1.685,-0.003,-0.012,0.001
1.69,-0.002,-0.011,0.006
1.695,0,-0.008,0.008
1.7,0,-0.006,0.007
1.705,-0.001,-0.006,0.006
1.71,0,-0.008,0.004
1.715,0.003,-0.01,0.002
1.72,0.007,-0.01,-0.001
1.725,0.01,-0.009,-0.006
1.73,0.008,-0.009,-0.01
1.735,0.004,-0.008,-0.01
1.74,0,-0.006,-0.006
1.745,-0.002,-0.002,-0.002
1.75,-0.002,0,-0.002
1.755,-0.001,0.001,-0.008
1.76,0,0.001,-0.017
1.765,0.001,0,-0.021
1.77,0,-0.002,-0.017
1.775,-0.001,-0.004,-0.008
1.78,-0.001,-0.006,0.001
1.785,0.001,-0.006,0.006
1.79,0.005,-0.005,0.008
1.795,0.008,-0.002,0.006
1.8,0.009,0.002,0.002
1.805,0.006,0.007,-0.004
1.81,0.003,0.01,-0.008
1.815,0.002,0.008,-0.01
1.82,0.002,0.001,-0.008
1.825,0.002,-0.01,-0.005
1.83,0.001,-0.018,-0.003
1.835,0,-0.018,-0.002
1.84,0.002,-0.012,-0.006
1.845,0.006,-0.007,-0.011
1.85,0.006,-0.006,-0.012
