Time,X,Y,Z
50:34.8,0.04,0.1,1
50:35.0,0.05,0.11,1
50:35.3,0.05,0.11,1
50:35.6,0.04,0.11,1
50:35.8,0.05,0.11,1.01
50:36.1,0.04,0.11,1
50:36.3,0.05,0.11,1
50:36.6,0.05,0.11,1
50:36.8,0.05,0.11,1
50:37.1,0.05,0.11,1
50:37.4,0.04,0.11,1
50:37.6,0.05,0.11,1
50:37.9,0.04,0.1,1
50:38.2,0.06,0.09,1.01
50:38.4,0.04,-0.06,1
50:38.7,0.12,-0.17,0.99
50:39.0,-0.09,0.1,0.97
50:39.2,-0.15,0.09,0.96
50:39.5,-0.02,0.18,0.97
50:39.7,-0.03,-0.35,1
50:40.0,0.2,0.27,1.51
50:40.3,0,-0.68,1.05
50:40.5,0.3,0.56,0.9
50:40.8,-0.08,-0.72,1.05
50:41.1,0.46,0.94,0.9
50:41.3,-0.04,-1.22,1.06
50:41.6,0.47,1.76,0.72
50:41.8,-0.18,-1.19,1.08
50:42.1,0.64,1.88,0.79
50:42.4,-0.47,-0.95,1.08
50:42.6,0.29,1.52,0.84
50:42.9,-0.3,-0.83,1.04
50:43.2,0.18,1.25,0.85
50:43.4,-0.17,-0.75,0.99
50:43.7,0.03,1.04,0.82
50:44.0,-0.19,-0.29,0.84
50:44.2,-0.09,0.08,0.65
50:44.5,0.17,-0.06,0.92
50:44.7,0.13,-0.79,0.99
50:45.0,0.3,0.71,0.92
50:45.3,0.05,-1.06,1.05
50:45.5,0.21,1.49,0.82
50:45.8,-0.19,-0.92,1.07
50:46.1,0.5,1.05,0.93
50:46.3,-0.19,-0.7,1.03
50:46.6,0.15,0.93,0.61
50:46.8,-0.11,-0.44,0.97
50:47.1,-0.07,0.16,0.86
50:47.4,-0.09,0.39,0.85
50:47.6,-0.11,-0.67,1.01
50:47.9,0.13,1.04,0.83
50:48.1,-0.25,-0.75,1.03
50:48.4,-0.01,1.33,0.85
50:48.7,0.08,-1.21,1.03
50:48.9,0.36,1.86,0.79
50:49.2,-0.15,-1.14,1.07
50:49.5,0.5,1.69,0.87
50:49.7,-0.02,-1.16,1.07
50:50.0,0.61,1.44,0.96
50:50.2,-0.4,-0.94,1.05
50:50.5,0.44,1.36,0.69
50:50.8,-0.36,-0.71,1.04
50:51.0,0.09,1.1,0.8
50:51.3,-0.33,-0.18,0.98
50:51.6,0.2,-0.07,0.92
50:51.8,0.03,0.27,0.85
50:52.1,0.14,-1.1,1.04
50:52.4,0.36,1.4,0.91
50:52.6,-0.35,-0.91,1.06
50:52.9,0.55,1.14,0.78
50:53.1,-0.41,-0.53,1.01
50:53.4,-0.04,1.14,0.99
50:53.7,-0.11,-0.31,1.01
50:53.9,-0.19,-0.28,1.03
50:54.2,0.21,0.01,0.81
50:54.4,0.12,-0.87,1.03
50:54.7,0.39,0.69,0.95
50:55.0,-0.06,-0.77,1.05
50:55.2,0.43,1.19,0.8
50:55.5,-0.19,-0.44,1.02
50:55.8,0.06,0.53,0.93
50:56.0,-0.07,-0.13,1.02
50:56.3,0.05,-0.09,0.96
50:56.5,0.06,0.21,0.97
50:56.8,0.01,-0.65,1.04
50:57.1,0.29,0.76,0.88
50:57.3,-0.16,-0.56,1.05
50:57.6,0.18,1.09,0.91
50:57.9,-0.18,-0.59,1.04
50:58.1,0.17,1,0.94
50:58.4,-0.14,-0.49,1.03
50:58.6,0.2,1.05,0.9
50:58.9,-0.24,-0.49,0.97
50:59.2,-0.22,0.75,0.85
50:59.4,-0.13,-0.17,1.01
50:59.7,-0.07,-0.44,0.9
51:00.0,0.3,0.41,0.62
51:00.2,-0.09,-0.61,1.02
51:00.5,0.35,0.64,0.92
51:00.7,-0.19,-0.42,1.07
51:01.0,0.29,0.78,0.96
51:01.3,-0.19,-0.44,1.05
51:01.5,0.18,0.58,0.95
51:01.8,-0.06,-0.21,1.01
51:02.1,-0.12,0.07,0.98
51:02.3,0.03,0.2,0.97
51:02.6,-0.01,-0.19,0.99
51:02.8,0.07,0.42,0.98
51:03.1,0.03,-0.52,1.04
51:03.4,0.21,0.71,0.94
51:03.6,-0.04,-0.51,1.02
51:03.9,0.23,0.81,1.04
51:04.2,-0.09,-0.3,1.02
51:04.4,0,0.44,0.94
51:04.7,-0.01,-0.17,1.03
51:05.0,-0.07,-0.09,1
51:05.2,0.03,0.27,0.96
51:05.5,-0.03,-0.37,1.02
51:05.7,0.16,0.59,0.96
51:06.0,-0.08,-0.39,1.04
51:06.3,0.12,0.54,0.97
51:06.5,-0.02,-0.21,1.03
51:06.8,0.02,0.43,0.97
51:07.1,0.04,-0.24,1.02
51:07.3,0.16,0.24,0.98
51:07.6,-0.03,0,1.02
51:07.8,0.05,0.02,0.99
51:08.1,0.01,0.08,1
51:08.4,0.04,-0.02,1.03
51:08.6,0.04,0.16,1
51:08.9,0.03,0.05,1.01
51:09.2,0.05,0.17,1
51:09.4,0.03,0.05,1.01
51:09.7,0.05,0.1,1.01
51:09.9,0.03,0.09,1.01
51:10.2,0.03,0.1,1
51:10.5,0.03,0.1,1.01
51:10.7,0.03,0.08,1.01
51:11.0,0.03,0.08,1.01
51:11.3,0.04,0.08,1.01
51:11.5,0.04,0.1,1.01
51:11.8,0.04,0.1,1.01
51:12.0,0.04,0.1,1
51:12.3,0.05,0.1,1
51:12.6,0.04,0.1,1.01
51:12.8,0.04,0.1,1.01
51:13.1,0.04,0.1,1.01
51:13.4,0.04,0.1,1.01
51:13.6,0.04,0.1,1.01
51:13.9,0.04,0.1,1
51:14.1,0.04,0.09,1.01
51:14.4,0.04,0.1,1.01
51:14.7,0.05,0.11,1
51:14.9,0.05,0.11,1
51:15.2,0.05,0.1,1.01
51:15.4,0.04,0.1,1
51:15.7,0.04,0.1,1
51:16.0,0.04,0.1,1.01
51:16.2,0.04,0.1,1
51:16.5,0.04,0.11,1
51:16.8,0.04,0.1,1
